cbsa_code,cbsa_name,vintage_present,summary,rem_cty_1_code,rem_cty_1_name,rem_cty_2_code,rem_cty_2_name,rem_cty_3_code,rem_cty_3_name,rem_cty_4_code,rem_cty_4_name,rem_cty_5_code,rem_cty_5_name,rem_cty_6_code,rem_cty_6_name,add_cty_1_code,add_cty_1_name,add_cty_2_code,add_cty_2_name,add_cty_3_code,add_cty_3_name,add_cty_4_code,add_cty_4_name,add_cty_5_code,add_cty_5_name,add_cty_6_code,add_cty_6_name
10260,"Adjuntas, PR",2013,,72001,Adjuntas Municipio,,,,,,,,,,,,,,,,,,,,,,
10380,"Aguadilla, PR",Both,"Removed: 72081, 72141",72081,Lares Municipio,72141,Utuado Municipio,,,,,,,,,,,,,,,,,,,,
10480,"Alamosa, CO",2023,"New CBSA. Added: 08003, 08021, 08023",,,,,,,,,,,,,08003,Alamosa County,08021,Conejos County,08023,Costilla County,,,,,,
10500,"Albany, GA",Both,Removed: 13007,13007,Baker County,,,,,,,,,,,,,,,,,,,,,,
10760,"Alexander City, AL",2023,New CBSA. Added: 01123,,,,,,,,,,,,,01123,Tallapoosa County,,,,,,,,,,
10860,"Alice, TX",Both,Added: 48047,,,,,,,,,,,,,48047,Brooks County,,,,,,,,,,
11180,"Ames, IA",Both,Added: 19015,,,,,,,,,,,,,19015,Boone County,,,,,,,,,,
11200,"Amherst Town-Northampton, MA",2023,New CBSA. Added: 25015,,,,,,,,,,,,,25015,Hampshire County,,,,,,,,,,
11360,"Anderson Creek, NC",2023,New CBSA. Added: 37085,,,,,,,,,,,,,37085,Harnett County,,,,,,,,,,
11700,"Asheville, NC",Both,Removed: 37087,37087,Haywood County,,,,,,,,,,,,,,,,,,,,,,
11780,"Ashtabula, OH",2013,,39007,Ashtabula County,,,,,,,,,,,,,,,,,,,,,,
11940,"Athens, TN",Both,Added: 47121,,,,,,,,,,,,,47121,Meigs County,,,,,,,,,,
12060,"Atlanta-Sandy Springs-Roswell, GA",Both,Removed: 13171; Added: 13187,13171,Lamar County,,,,,,,,,,,13187,Lumpkin County,,,,,,,,,,
12100,"Atlantic City-Hammonton, NJ",Both,Added: 34009,,,,,,,,,,,,,34009,Cape May County,,,,,,,,,,
12220,"Auburn-Opelika, AL",Both,Added: 01087,,,,,,,,,,,,,01087,Macon County,,,,,,,,,,
12520,"Baker City, OR",2023,New CBSA. Added: 41001,,,,,,,,,,,,,41001,Baker County,,,,,,,,,,
12680,"Bardstown, KY",2013,,21179,Nelson County,,,,,,,,,,,,,,,,,,,,,,
12820,"Bastrop, LA",2013,,22067,Morehouse Parish,,,,,,,,,,,,,,,,,,,,,,
12940,"Baton Rouge, LA",Both,Added: 22007,,,,,,,,,,,,,22007,Assumption Parish,,,,,,,,,,
13140,"Beaumont-Port Arthur, TX",Both,Removed: 48351,48351,Newton County,,,,,,,,,,,,,,,,,,,,,,
13460,"Bend, OR",Both,"Added: 41013, 41031",,,,,,,,,,,,,41013,Crook County,41031,Jefferson County,,,,,,,,
13500,"Bennettsville, SC",2013,,45069,Marlboro County,,,,,,,,,,,,,,,,,,,,,,
13620,"Berlin, NH-VT",2013,,33007,Coos County,50009,Essex County,,,,,,,,,,,,,,,,,,,,
13700,"Big Spring, TX",Both,Removed: 48173,48173,Glasscock County,,,,,,,,,,,,,,,,,,,,,,
13720,"Big Stone Gap, VA",2013,,51051,Dickenson County,51195,Wise County,51720,Norton city,,,,,,,,,,,,,,,,,,
13740,"Billings, MT",Both,Removed: 30037; Added: 30095,30037,Golden Valley County,,,,,,,,,,,30095,Stillwater County,,,,,,,,,,
13860,"Bishop, CA",2023,New CBSA. Added: 06027,,,,,,,,,,,,,06027,Inyo County,,,,,,,,,,
13900,"Bismarck, ND",Both,Removed: 38085,38085,Sioux County,,,,,,,,,,,,,,,,,,,,,,
14010,"Bloomington, IL",Both,Removed: 17039,17039,De Witt County,,,,,,,,,,,,,,,,,,,,,,
14100,"Bloomsburg-Berwick, PA",Both,Removed: 42093,42093,Montour County,,,,,,,,,,,,,,,,,,,,,,
14300,"Bonham, TX",2023,New CBSA. Added: 48147,,,,,,,,,,,,,48147,Fannin County,,,,,,,,,,
14340,"Boone, IA",2013,,19015,Boone County,,,,,,,,,,,,,,,,,,,,,,
14700,"Branson, MO",Both,Removed: 29209,29209,Stone County,,,,,,,,,,,,,,,,,,,,,,
14710,"Brattleboro, VT",2023,New CBSA. Added: 50025,,,,,,,,,,,,,50025,Windham County,,,,,,,,,,
14720,"Breckenridge, CO",Both,Added: 08065,,,,,,,,,,,,,08065,Lake County,,,,,,,,,,
14860,"Bridgeport-Stamford-Danbury, CT",Both,"Removed: 09001; Added: 09120, 09190",09001,Fairfield County,,,,,,,,,,,09120,Greater Bridgeport Planning Region,09190,Western Connecticut Planning Region,,,,,,,,
14940,"Brigham City, UT-ID",2023,"New CBSA. Added: 16071, 49003",,,,,,,,,,,,,16071,Oneida County,49003,Box Elder County,,,,,,,,
15680,"California-Lexington Park, MD",2013,,24037,St. Mary's County,,,,,,,,,,,,,,,,,,,,,,
15820,"Campbellsville, KY",Both,Added: 21087,,,,,,,,,,,,,21087,Green County,,,,,,,,,,
16060,"Carbondale, IL",Both,Removed: 17199,17199,Williamson County,,,,,,,,,,,,,,,,,,,,,,
16140,"Carroll, IA",2023,New CBSA. Added: 19027,,,,,,,,,,,,,19027,Carroll County,,,,,,,,,,
16660,"Charleston-Mattoon, IL",Both,Removed: 17035,17035,Cumberland County,,,,,,,,,,,,,,,,,,,,,,
16740,"Charlotte-Concord-Gastonia, NC-SC",Both,Added: 37007,,,,,,,,,,,,,37007,Anson County,,,,,,,,,,
16820,"Charlottesville, VA",Both,Removed: 51029,51029,Buckingham County,,,,,,,,,,,,,,,,,,,,,,
16980,"Chicago-Naperville-Elgin, IL-IN",Both,Removed: 55059,55059,Kenosha County,,,,,,,,,,,,,,,,,,,,,,
17140,"Cincinnati, OH-KY-IN",Both,Removed: 18161; Added: 18047,18161,Union County,,,,,,,,,,,18047,Franklin County,,,,,,,,,,
17200,"Claremont-Lebanon, NH-VT",2013,,33009,Grafton County,33019,Sullivan County,50017,Orange County,50027,Windsor County,,,,,,,,,,,,,,,,
17300,"Clarksville, TN-KY",Both,Added: 47161,,,,,,,,,,,,,47161,Stewart County,,,,,,,,,,
17410,"Cleveland, OH",2023,"New CBSA. Added: 39007, 39035, 39055, 39085, 39093, 39103",,,,,,,,,,,,,39007,Ashtabula County,39035,Cuyahoga County,39055,Geauga County,39085,Lake County,39093,Lorain County,39103,Medina County
17460,"Cleveland-Elyria, OH",2013,,39035,Cuyahoga County,39055,Geauga County,39085,Lake County,39093,Lorain County,39103,Medina County,,,,,,,,,,,,,,
17500,"Clewiston, FL",Both,Added: 12043,,,,,,,,,,,,,12043,Glades County,,,,,,,,,,
17580,"Clovis, NM",Both,Added: 35041,,,,,,,,,,,,,35041,Roosevelt County,,,,,,,,,,
17620,"Coamo, PR",Both,Added: 72133,,,,,,,,,,,,,72133,Santa Isabel Municipio,,,,,,,,,,
17650,"Cody, WY",2023,New CBSA. Added: 56029,,,,,,,,,,,,,56029,Park County,,,,,,,,,,
17700,"Coffeyville, KS",2013,,20125,Montgomery County,,,,,,,,,,,,,,,,,,,,,,
17860,"Columbia, MO",Both,"Added: 29053, 29089",,,,,,,,,,,,,29053,Cooper County,29089,Howard County,,,,,,,,
17980,"Columbus, GA-AL",Both,"Added: 13259, 13263",,,,,,,,,,,,,13259,Stewart County,13263,Talbot County,,,,,,,,
18060,"Columbus, MS",Both,Added: 28103,,,,,,,,,,,,,28103,Noxubee County,,,,,,,,,,
18100,"Columbus, NE",Both,Added: 31037,,,,,,,,,,,,,31037,Colfax County,,,,,,,,,,
18260,"Cookeville, TN",Both,Added: 47185,,,,,,,,,,,,,47185,White County,,,,,,,,,,
18340,"Corbin, KY",2023,"New CBSA. Added: 21051, 21121, 21125, 21235",,,,,,,,,,,,,21051,Clay County,21121,Knox County,21125,Laurel County,21235,Whitley County,,,,
18780,"Craig, CO",2013,,08081,Moffat County,,,,,,,,,,,,,,,,,,,,,,
19000,"Cullowhee, NC",2013,,37099,Jackson County,,,,,,,,,,,,,,,,,,,,,,
19100,"Dallas-Fort Worth-Arlington, TX",Both,"Removed: 48221, 48425",48221,Hood County,48425,Somervell County,,,,,,,,,,,,,,,,,,,,
19380,"Dayton, OH",2013,,39057,Greene County,39109,Miami County,39113,Montgomery County,,,,,,,,,,,,,,,,,,
19420,"Dayton, TN",2013,,47143,Rhea County,,,,,,,,,,,,,,,,,,,,,,
19430,"Dayton-Kettering-Beavercreek, OH",2023,"New CBSA. Added: 39057, 39109, 39113",,,,,,,,,,,,,39057,Greene County,39109,Miami County,39113,Montgomery County,,,,,,
19780,"Des Moines-West Des Moines, IA",Both,Added: 19099,,,,,,,,,,,,,19099,Jasper County,,,,,,,,,,
19810,"Detroit Lakes, MN",2023,New CBSA. Added: 27005,,,,,,,,,,,,,27005,Becker County,,,,,,,,,,
19860,"Dickinson, ND",Both,"Added: 38007, 38025",,,,,,,,,,,,,38007,Billings County,38025,Dunn County,,,,,,,,
20060,"Douglas, GA",Both,Added: 13003,,,,,,,,,,,,,13003,Atkinson County,,,,,,,,,,
20380,"Dunn, NC",2013,,37085,Harnett County,,,,,,,,,,,,,,,,,,,,,,
20820,"Effingham, IL",Both,Added: 17035,,,,,,,,,,,,,17035,Cumberland County,,,,,,,,,,
21020,"Elizabeth City, NC",Both,"Removed: 37029, 37143",37029,Camden County,37143,Perquimans County,,,,,,,,,,,,,,,,,,,,
21060,"Elizabethtown, KY",Both,Removed: 21163,21163,Meade County,,,,,,,,,,,,,,,,,,,,,,
21380,"Emporia, KS",Both,Added: 20017,,,,,,,,,,,,,20017,Chase County,,,,,,,,,,
21640,"Eufaula, AL-GA",2023,"New CBSA. Added: 01005, 13239",,,,,,,,,,,,,01005,Barbour County,13239,Quitman County,,,,,,,,
21740,"Evanston, WY-UT",Both,Added: 49033,,,,,,,,,,,,,49033,Rich County,,,,,,,,,,
21780,"Evansville, IN",Both,Removed: 21101,21101,Henderson County,,,,,,,,,,,,,,,,,,,,,,
21840,"Fairfield, IA",2013,,19101,Jefferson County,,,,,,,,,,,,,,,,,,,,,,
21860,"Fairmont, MN",2023,New CBSA. Added: 27091,,,,,,,,,,,,,27091,Martin County,,,,,,,,,,
22190,"Fayetteville, TN",2023,New CBSA. Added: 47103,,,,,,,,,,,,,47103,Lincoln County,,,,,,,,,,
22220,"Fayetteville-Springdale-Rogers, AR",Both,Removed: 29119,29119,McDonald County,,,,,,,,,,,,,,,,,,,,,,
22280,"Fernley, NV",2013,,32019,Lyon County,,,,,,,,,,,,,,,,,,,,,,
22800,"Fort Madison, IA",Both,"Removed: 17067, 29045",17067,Hancock County,29045,Clark County,,,,,,,,,,,,,,,,,,,,
22840,"Fort Payne, AL",2023,New CBSA. Added: 01049,,,,,,,,,,,,,01049,DeKalb County,,,,,,,,,,
22860,"Fort Polk South, LA",2013,,22115,Vernon Parish,,,,,,,,,,,,,,,,,,,,,,
22900,"Fort Smith, AR-OK",Both,Removed: 40079,40079,Le Flore County,,,,,,,,,,,,,,,,,,,,,,
23190,"Franklin, KY",2023,New CBSA. Added: 21213,,,,,,,,,,,,,21213,Simpson County,,,,,,,,,,
23420,"Fresno, CA",Both,Added: 06039,,,,,,,,,,,,,06039,Madera County,,,,,,,,,,
23540,"Gainesville, FL",Both,Added: 12075,,,,,,,,,,,,,12075,Levy County,,,,,,,,,,
23680,"Gallipolis, OH",2023,New CBSA. Added: 39053,,,,,,,,,,,,,39053,Gallia County,,,,,,,,,,
23780,"Garden City, KS",Both,Removed: 20093,20093,Kearny County,,,,,,,,,,,,,,,,,,,,,,
23820,"Gardnerville Ranchos, NV-CA",Both,Added: 06003,,,,,,,,,,,,,06003,Alpine County,,,,,,,,,,
23860,"Georgetown, SC",2013,,45043,Georgetown County,,,,,,,,,,,,,,,,,,,,,,
24060,"Glenwood Springs, CO",2013,,08045,Garfield County,08097,Pitkin County,,,,,,,,,,,,,,,,,,,,
24180,"Granbury, TX",2023,New CBSA. Added: 48221,,,,,,,,,,,,,48221,Hood County,,,,,,,,,,
24260,"Grand Island, NE",Both,Removed: 31081,31081,Hamilton County,,,,,,,,,,,,,,,,,,,,,,
24330,"Grand Rapids, MN",2023,New CBSA. Added: 27061,,,,,,,,,,,,,27061,Itasca County,,,,,,,,,,
24340,"Grand Rapids-Wyoming-Kentwood, MI",Both,Added: 26067,,,,,,,,,,,,,26067,Ionia County,,,,,,,,,,
24380,"Grants, NM",2013,,35006,Cibola County,,,,,,,,,,,,,,,,,,,,,,
24600,"Greencastle, IN",2023,New CBSA. Added: 18133,,,,,,,,,,,,,18133,Putnam County,,,,,,,,,,
24980,"Grenada, MS",Both,Added: 28097,,,,,,,,,,,,,28097,Montgomery County,,,,,,,,,,
25060,"Gulfport-Biloxi, MS",Both,Added: 28131,,,,,,,,,,,,,28131,Stone County,,,,,,,,,,
25180,"Hagerstown-Martinsburg, MD-WV",Both,Added: 54065,,,,,,,,,,,,,54065,Morgan County,,,,,,,,,,
25540,"Hartford-West Hartford-East Hartford, CT",Both,"Removed: 09003, 09007, 09013; Added: 09110, 09130",09003,Hartford County,09007,Middlesex County,09013,Tolland County,,,,,,,09110,Capitol Planning Region,09130,Lower Connecticut River Valley Planning Region,,,,,,,,
25580,"Hastings, NE",Both,"Added: 31035, 31181",,,,,,,,,,,,,31035,Clay County,31181,Webster County,,,,,,,,
25720,"Heber, UT",Both,Added: 49043,,,,,,,,,,,,,49043,Summit County,,,,,,,,,,
25740,"Helena, MT",Both,Added: 30007,,,,,,,,,,,,,30007,Broadwater County,,,,,,,,,,
25760,"Helena-West Helena, AR",2013,,05107,Phillips County,,,,,,,,,,,,,,,,,,,,,,
25770,"Hemlock Farms, PA",2023,New CBSA. Added: 42103,,,,,,,,,,,,,42103,Pike County,,,,,,,,,,
25775,"Henderson, KY",2023,"New CBSA. Added: 21101, 21233",,,,,,,,,,,,,21101,Henderson County,21233,Webster County,,,,,,,,
25850,"Hermitage, PA",2023,New CBSA. Added: 42085,,,,,,,,,,,,,42085,Mercer County,,,,,,,,,,
26420,"Houston-Pasadena-The Woodlands, TX",Both,Added: 48407,,,,,,,,,,,,,48407,San Jacinto County,,,,,,,,,,
26580,"Huntington-Ashland, WV-KY-OH",Both,"Removed: 54043; Added: 21043, 21127",54043,Lincoln County,,,,,,,,,,,21043,Carter County,21127,Lawrence County,,,,,,,,
26660,"Huntsville, TX",Both,Removed: 48455,48455,Trinity County,,,,,,,,,,,,,,,,,,,,,,
26900,"Indianapolis-Carmel-Greenwood, IN",Both,Removed: 18133; Added: 18159,18133,Putnam County,,,,,,,,,,,18159,Tipton County,,,,,,,,,,
26940,"Indianola, MS",2013,,28133,Sunflower County,,,,,,,,,,,,,,,,,,,,,,
26960,"Ionia, MI",2013,,26067,Ionia County,,,,,,,,,,,,,,,,,,,,,,
27140,"Jackson, MS",Both,"Added: 28051, 28123",,,,,,,,,,,,,28051,Holmes County,28123,Scott County,,,,,,,,
27160,"Jackson, OH",2013,,39079,Jackson County,,,,,,,,,,,,,,,,,,,,,,
27180,"Jackson, TN",Both,Added: 47053,,,,,,,,,,,,,47053,Gibson County,,,,,,,,,,
27540,"Jasper, IN",Both,Removed: 18125,18125,Pike County,,,,,,,,,,,,,,,,,,,,,,
27580,"Jayuya, PR",2013,,72073,Jayuya Municipio,,,,,,,,,,,,,,,,,,,,,,
27900,"Joplin, MO-KS",Both,Added: 20021,,,,,,,,,,,,,20021,Cherokee County,,,,,,,,,,
27920,"Junction City, KS",2013,,20061,Geary County,,,,,,,,,,,,,,,,,,,,,,
28020,"Kalamazoo-Portage, MI",Both,Removed: 26159,26159,Van Buren County,,,,,,,,,,,,,,,,,,,,,,
28450,"Kenosha, WI",2023,New CBSA. Added: 55059,,,,,,,,,,,,,55059,Kenosha County,,,,,,,,,,
28620,"Kill Devil Hills, NC",Both,Removed: 37177,37177,Tyrrell County,,,,,,,,,,,,,,,,,,,,,,
28680,"Kingsland, GA",2023,New CBSA. Added: 13039,,,,,,,,,,,,,13039,Camden County,,,,,,,,,,
28780,"Kingsville, TX",Both,Removed: 48261,48261,Kenedy County,,,,,,,,,,,,,,,,,,,,,,
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",2023,"New CBSA. Added: 36027, 36071",,,,,,,,,,,,,36027,Dutchess County,36071,Orange County,,,,,,,,
